StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,FL_5_DO_FL_14,FL_5_DO_FL_15,FL_5_DO_FL_16,FL_5_DO_FL_17
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,



We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.



Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.



You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.



Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.



I DECLARE THAT

• I am 18 years old or older

• I take part in this project voluntarily

• I am aware of the objectives and aims of this research project

• I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes

• I am aware that it is not possible to withdraw the data I have provided once it has been submitted.



For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.","Person A was given two tickets to the lottery. They won 130 Dirhams with one ticket and 70 Dirhams with the other ticket.  



Person B was given a ticket to one lottery. They won 200 Dirhams.  


 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 15 Dirhams but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is 15 Dirhams. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 15 Dirhams but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is 15 Dirhams. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 30 Dirhams instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 30 Dirhams instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.



What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 30 Dirhams (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted 30 Dirhams","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 30 Dirhams (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 30 Dirhams (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for 400 Dirhams and a Bluetooth speaker for 50 Dirhams. The salesman informs you that the speaker you wish to buy is on sale for 30 Dirhams at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 15 Dirhams which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is 15 Dirhams. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.


What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 15 Dirhams which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is 15 Dirhams. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.


What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 30 Dirhams instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 30 Dirhams instead? - If they are a stranger,"Person A received a fine and owed 250 Dirhams. The same day they received a second fine and owed 150 Dirhams.



Person B received a fine and owed 400 Dirhams.

Who is more upset?","Imagine that you are on your way to a music event and intend to buy a ticket worth 150 Dirhams. On entering the venue, you realise that you have lost 150 Dirhams in cash.


Would you still pay 150 Dirhams for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 50 Dirhams, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 50 Dirhams and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.



What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won 250 Dirhams. Also, they damaged one door in their apartment in an accident and had to pay the landlord 200 Dirhams.  

 

Person B bought a lottery ticket and won 50 Dirhams.  

 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 15 Dirhams but you paid 30 Dirhams for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is 15 Dirhams. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 15 Dirhams but you paid 30 Dirhams for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is 15 Dirhams. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 30 Dirhams instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 30 Dirhams instead? - If they are a stranger,"You are about to purchase a jacket for 50 Dirhams and a Bluetooth speaker for 400 Dirhams. The salesman informs you that the speaker you wish to buy is on sale for 380 Dirhams at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 1300 Dirhams a year (i.e., roughly 30 Dirhams per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted 30 Dirhams","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 1300 Dirhams a year (i.e., roughly 30 Dirhams per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 1300 Dirhams a year (i.e., roughly 30 Dirhams per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted something, but no specific amount or measure comes to mind","Person A damaged their car in a parking lot. They had to spend 500 Dirhams  to repair the damage. The same day they damaged the car they won 50 Dirhams in a raffle.  

 

Person B damaged their car in a parking lot. They had to spend 450 Dirhams to repair the damage.  

 

Who is more upset?","Imagine that you are on your way to a music event with a ticket for which you have paid 150 Dirhams. On entering the venue, you discover that you have lost the ticket.



Would you pay 150 Dirhams for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 50 Dirhams, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 50 Dirhams and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.



What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.



What price do you tell them?","Suppose that you have 1000 Dirhams in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year,
how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?","To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.


How serious have you been about filling in the survey?",What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	
 	
 
●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	
 ●	Demographic data (e.g. gender, age or income level)	

 
Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted.",FL_5 - Block Randomizer - Display Order - FL_14,FL_5 - Block Randomizer - Display Order - FL_15,FL_5 - Block Randomizer - Display Order - FL_16,FL_5 - Block Randomizer - Display Order - FL_17
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_14""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_15""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_16""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_17""}"
2022-09-13 14:34:11,2022-09-13 14:46:17,0,100,726,1,2022-09-13 14:46:18,R_2YfEuZCXi8Rrp1t,anonymous,AR,0.8999999761581421,1,1,0,15,0,30,30,1,5,1,1,0,15,0,30,1,1,2,2,0,15,0,30,2,1,1,1,2,2,2,10,2,3,3,4,5,1,27,2,9,116,2,1,3,2,4,1
2022-09-13 14:35:51,2022-09-13 14:52:05,0,100,974,1,2022-09-13 14:52:06,R_3Jydzfu209MtNZV,anonymous,AR,1,1,3,15,15,30,30,50,3,3,3,1,15,15,30,30,3,1,1,2,15,15,30,30,1,3,3,3,1,1,1,20,1,4,3,4,5,2,23,2,14,116,2,1,1,2,3,4
2022-09-13 14:33:09,2022-09-13 14:52:46,0,100,1177,1,2022-09-13 14:52:47,R_2D8lkToHKP6duKJ,anonymous,AR,0.8999999761581421,1,2,0,0,0,0,40,1,5,5,1,0,0,0,0,3,2,3,3,0,30,0,30,2,5,1,5,3,2,3,15,4,4,3,4,5,2,30,5,27,116,2,1,1,3,4,2
2022-09-13 14:43:45,2022-09-13 14:58:04,0,100,858,1,2022-09-13 14:58:04,R_27wivzbeZMm444P,anonymous,AR,1,1,3,15,15,30,30,20,1,1,1,2,15,15,30,30,3,2,1,3,15,15,30,30,2,2,1,1,3,2,1,10,1,4,3,4,4,1,51,6,15,116,2,1,4,3,1,2
2022-09-13 14:43:41,2022-09-13 15:00:07,0,100,986,1,2022-09-13 15:00:08,R_1H7soNt0GkyRlrr,anonymous,AR,0.8999999761581421,1,1,0,15,0,20,15,5,3,3,1,0,15,0,25,3,1,2,1,0,15,0,15,2,4,3,2,1,1,2,15,3,4,1,4,5,1,40,6,25,116,2,1,1,4,3,2
2022-09-13 14:51:52,2022-09-13 15:02:37,0,100,644,1,2022-09-13 15:02:37,R_2QE7vWKjFgprQhA,anonymous,AR,1,1,3,0,15,0,30,50,5,3,5,2,15,15,15,15,3,2,1,3,15,15,15,15,2,5,3,5,3,2,2,50,1,1,1,2,4,2,38,4,18,116,2,1,2,1,3,4
2022-09-13 14:39:40,2022-09-13 15:08:24,0,100,1724,1,2022-09-13 15:08:25,R_0ClDYcl60aJClfH,anonymous,AR,1,1,1,0,15,0,15,50,1,3,3,1,15,15,15,30,1,2,1,2,15,30,30,30,1,3,3,3,1,2,1,15,1,4,2,4,5,1,22,7,16,116,2,1,4,2,1,3
2022-09-13 14:53:40,2022-09-13 15:10:08,0,100,988,1,2022-09-13 15:10:09,R_u9e9IVtRtANXawx,anonymous,AR,0.8999999761581421,1,1,10,15,10,20,15,1,5,4,1,10,15,10,20,1,2,3,2,15,30,15,30,2,1,5,4,2,2,3,10,1,3,3,1,5,1,30,1,17,116,2,1,2,3,4,1
