StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,R,FL_5_DO_FL_14,FL_5_DO_FL_15,FL_5_DO_FL_16,FL_5_DO_FL_17
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,



We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.



Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.



You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.



Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.



I DECLARE THAT

• I am 18 years old or older

• I take part in this project voluntarily

• I am aware of the objectives and aims of this research project

• I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes

• I am aware that it is not possible to withdraw the data I have provided once it has been submitted.



For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.","Person A was given two tickets to the lottery. They won 30 € with one ticket and 10 € with the other ticket.  



Person B was given a ticket to one lottery. They won 40 €.  


 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 5 € but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is 5 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is 5 € but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is 5 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 10 € instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 10 € instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.



What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 10 € (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted 10€","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 10 € (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay 10 € (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for 80 € and a Bluetooth speaker for 10 €. The salesman informs you that the speaker you wish to buy is on sale for 5 € at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 5 € which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is 5 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.


What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is 5 € which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is 5 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.


What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 10 € instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 10 € instead? - If they are a stranger,"Person A received a fine and owed 50 €. The same day they received a second fine and owed 20 €.



Person B received a fine and owed 70 €.

Who is more upset?","Imagine that you are on your way to a music event and intend to buy a ticket worth 30 €. On entering the venue, you realize that you have lost 30 € in cash.


Would you still pay 30 € for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 10 €, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 10 € and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.



What do you think is the most appropriate thing to do?","Person A bought a lottery ticket and won 50 €. Also, they damaged one door in their apartment in an accident and had to pay the landlord 40 €.  

 

Person B bought a lottery ticket and won 10 €.  

 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 5 € but you paid 10 € for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is 5 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is 5 € but you paid 10 € for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is 5 €. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was 10 € instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was 10 € instead? - If they are a stranger,"You are about to purchase a jacket for 10 € and a Bluetooth speaker for 80 €. The salesman informs you that the speaker you wish to buy is on sale for 75 € at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 230 € a year (i.e., roughly 10 € per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted 10€","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 230 € a year (i.e., roughly 10 € per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you 230 € a year (i.e., roughly 10 € per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted something, but no specific amount or measure comes to mind","Person A damaged their car in a parking lot. They had to spend 100 € to repair the damage. The same day they damaged the car they won 20 € in a raffle.  

 

Person B damaged their car in a parking lot. They had to spend 80 € to repair the damage.  

 

Who is more upset?","Imagine that you are on your way to a music event with a ticket for which you have paid 30 €. On entering the venue, you discover that you have lost the ticket.



Would you pay 30 € for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth 10 €, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of 10 € and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.



What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.



What price do you tell them?","Suppose that you have 100 € in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year,
how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?","To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.


How serious have you been about filling in the survey?",What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your annual personal income last year (after deductions)?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	
 	
 
●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	
 ●	Demographic data (e.g. gender, age or income level)	

 
Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted.",R,FL_5 - Block Randomizer - Display Order - FL_14,FL_5 - Block Randomizer - Display Order - FL_15,FL_5 - Block Randomizer - Display Order - FL_16,FL_5 - Block Randomizer - Display Order - FL_17
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}","{""ImportId"":""R""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_14""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_15""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_16""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_17""}"
2022-09-12 00:43:34,2022-09-12 01:42:35,0,100,3540,1,2022-09-12 01:42:37,R_3khPgyF56XiMVLB,anonymous,PT,0.8999999761581421,1,1,0,5,0,10,5,1,5,5,2,5,5,5,10,1,1,2,2,5,5,5,10,2,1,5,5,2,1,1,5,1,3,2,3,5,1,32,1,22,138,8,1,,2,1,3,4
2022-09-12 09:28:18,2022-09-12 09:50:49,0,100,1351,1,2022-09-12 09:50:50,R_22DZIZLe4fFVQdn,anonymous,PT,1,1,1,5,6,5,10,10,3,3,3,1,5,6,5,10,2,2,2,2,10,11,10,10,1,3,3,3,2,1,2,5,1,3,2,3,4,1,60,6,12,138,8,1,,2,1,4,3
2022-09-12 14:51:33,2022-09-12 15:18:59,0,100,1645,1,2022-09-12 15:18:59,R_3edYyAzOq8lWHMS,anonymous,PT,1,1,3,5,5,5,5,5,1,5,5,1,5,5,5,5,3,1,2,3,10,10,10,10,1,3,5,3,3,1,2,2,3,3,2,4,4,2,61,8,17,138,8,1,,3,2,4,1
2022-09-15 20:49:38,2022-09-15 21:03:06,0,100,807,1,2022-09-15 21:03:06,R_1CaqgvUWoQVknNG,anonymous,PT,0.8999999761581421,1,1,5,5,5,7.5,7,3,5,5,1,5,5,5,7.5,1,1,2,2,5,10,5,10,1,3,5,2,2,1,1,3,1,3,3,4,5,2,25,1,17,138,8,1,,3,1,2,4
2022-09-15 23:09:35,2022-09-15 23:19:00,0,100,564,1,2022-09-15 23:19:02,R_x9IcJeD74PzFKIp,anonymous,PT,1,1,2,0,5,0,15,5,2,4,3,2,5,10,10,15,2,1,2,2,5,10,10,15,2,2,4,3,1,1,2,2,1,3,2,4,4,2,24,3,16,138,8,1,,4,3,1,2
2022-09-15 23:32:04,2022-09-15 23:46:17,0,100,853,1,2022-09-15 23:46:18,R_RP5CsOEM2YahMI1,anonymous,PT,0.8999999761581421,1,2,0,5,0,10,2,5,1,4,2,5,5,5,10,1,2,3,2,5,5,10,10,2,5,1,4,2,1,2,2,1,3,2,3,5,2,24,6,17,107,8,1,,2,3,1,4
2022-09-16 00:02:22,2022-09-16 00:11:29,0,100,547,1,2022-09-16 00:11:30,R_DHHCzrcN1ZARtGF,anonymous,PT,0.8999999761581421,1,1,0,5,0,10,3,1,5,4,2,5,10,5,10,1,1,3,2,10,5,10,10,2,4,2,3,2,1,3,3,1,3,2,4,4,2,25,2,17,138,8,1,,2,1,3,4
2022-09-16 00:07:29,2022-09-16 00:30:27,0,100,1377,1,2022-09-16 00:30:28,R_2E0FAjYSh31lUVo,anonymous,PT,0.8999999761581421,1,3,0,10,0,10,2,1,4,4,1,5,10,10,15,1,1,2,2,10,15,10,15,1,1,4,4,2,2,2,2,1,2,2,1,5,2,53,3,12,138,8,1,,3,4,2,1
