StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,FL_5_DO_FL_14,FL_5_DO_FL_15,FL_5_DO_FL_16,FL_5_DO_FL_17
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Dear Participant,



We invite you to take part in an online study with the purpose of investigating how people make decisions. The duration of the questionnaire is approximately 10 minutes. At the end of the questionnaire, you will be asked some personal demographic information.



Your data will be analyzed anonymously and processed according to the current international legislation for the protection of privacy (D. Lgs 196/2003 and EU GDPR 679/2016 on the protection of personal data and art. 9 of the Deontological Code of Italian Psychologists). Your data will be used solely for the purposes of the research itself. No information regarding you personally will be published or revealed in any way.



You are free to withdraw from the study at any point without giving any explanation. In this case your data will be deleted. You will not receive any payment or reimbursement of any sort for your participation in this study. There are no known risks associated with participating in this study.



Project Manager: Enrico Rubaltelli (Department of Development Psychology and Socialization -DPSS, University of Padua). The person responsible for this research agrees to comply with the obligations of current legislation in terms of collection, processing and storage of sensitive data.



I DECLARE THAT

• I am 21 years old or older

• I take part in this project voluntarily

• I am aware of the objectives and aims of this research project

• I am aware that the data obtained, in absolute anonymity, will be treated exclusively for educational and research purposes

• I am aware that it is not possible to withdraw the data I have provided once it has been submitted.



For any clarification you can contact Prof. Enrico Rubaltelli at jdmlab.multicountry@gmail.com.","Person A was given two tickets to the 4D lottery. They won $250 with one ticket and $100 with the other ticket.  



Person B was given a ticket to one 4D lottery. They won $350.  


 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is $25 but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is $25. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The price marked on the ticket is $25 but this ticket has been offered to you by a friend for free.   



You want to get rid of the extra ticket and you know the ticket’s face value price is $25. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to... ? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was $50 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $50 instead? - If they are a stranger,"You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a fancy resort hotel. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the bartender.



What price do you tell them?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $5 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted $5","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $5 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership to the gym allows you to pay $5 (non-refundable) per session. One Monday, just after you have paid and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.

How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted something, but no specific amount or measure comes to mind","You are about to purchase a jacket for $750 and a Bluetooth speaker for $90. The salesman informs you that the speaker you wish to buy is on sale for $60 at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is $25 which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is $25. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.


What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","Imagine you are going to a sold-out game of your favorite local sports team, and you have an extra ticket. The price marked on the ticket is $25 which is what you paid for each ticket.



You want to get rid of the extra ticket and you know the ticket's face value price is $25. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.


What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was $50 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $50 instead? - If they are a stranger,"Person A received a fine and owed $500. The same day they received a second fine and owed $200.



Person B received a fine and owed $700.

Who is more upset?","Imagine that you are on your way to a music event and intend to buy a ticket worth $250. On entering the venue, you realize that you have lost $250 in cash.


Would you still pay $250 for a ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth $80, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of $80 and received the other one for free. Just one coupon is required to upgrade your class on the current flight and your friend offers you the coupon which they got for free so that you can upgrade your ticket as well.



What do you think is the most appropriate thing to do?","Person A bought a 4D lottery ticket and won $500. Also, they damaged one door in their apartment in an accident and had to pay the landlord $400.  

 

Person B bought a 4D lottery ticket and won $100.  

 

Who is happier?","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is $25 but you paid $50 for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is $25. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a friend","You are going to a sold-out game of your favorite local sports team and you have an extra ticket. The ticket’s face value price is $25 but you paid $50 for each ticket when you bought them from another person.



You want to get rid of the extra ticket and you know the ticket’s face value price is $25. You find someone who wants the ticket. There is no law against charging more than the price marked on the ticket.



What price do you ask for selling the extra ticket if the person you sell it to...? - Is a stranger",What price would you have asked for if you found out that the ticket’s face value price was $50 instead? - If they are a friend,What price would you have asked for if you found out that the ticket’s face value price was $50 instead? - If they are a stranger,"You are about to purchase a jacket for $90 and a Bluetooth speaker for $750. The salesman informs you that the speaker you wish to buy is on sale for $720 at the other branch store, located 20 minutes away.



Would you make the trip to the other store?","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $1200 a year (i.e., roughly $5 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted $5","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $1200 a year (i.e., roughly $5 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted nothing, since my visit had already been paid for","Imagine that you go to the gym on a regular basis. Due to your busy working schedule, you can only go on Monday nights. The membership costs you $1200 a year (i.e., roughly $5 per visit). One Monday, just after you have arrived and changed into your gym clothes, you receive a phone call that requires you to leave and forgo your exercise that evening.



How well does
each of the following statements capture your feelings about the cost of the missed
workout? - I feel like I wasted something, but no specific amount or measure comes to mind","Person A damaged their car in a parking lot. They had to spend $900 to repair the damage. The same day they damaged the car they won $100 in a lucky draw.  

 

Person B damaged their car in a parking lot. They had to spend $800 to repair the damage.  

 

Who is more upset?","Imagine that you are on your way to a music event with a ticket for which you have paid $250. On entering the venue, you discover that you have lost the ticket.



Would you pay $250 for another ticket?","You are flying with a friend who has upgraded their ticket to business class and has two coupons, each worth $80, which could be used to upgrade your ticket from economy to business class. They purchased one coupon for the standard price of $80 and received the other one for free. Just one coupon is required to upgrade your class on the current flight, and your friend offers you the coupon which they purchased so that you can upgrade as well.



What do you think is the most appropriate thing to do?","You are on the beach on a hot day, and you would really like a cold drink. A friend offers to go buy the drink from a small, run-down grocery store. They ask how much you are willing to pay for the drink: they will only buy it if it costs as much or less than the price you state. You trust your friend, and there is no possibility of bargaining with the store owner.



What price do you tell them?","Suppose that you have $100 in a savings account and the interest rate is 2% per year. After 5 years, how much do you think you would have in the account if you let the money grow?","Imagine that the interest rate on your savings account was 1% per year and inflation was 2% per year. After 1 year,
how much would you be able to buy with the money in this account?",Buying a single company's stock usually provides a safer return than a stock mutual fund.,"If interest rates rise, what would typically happen to bond prices?","To ensure the quality of our data we need to know if participants paid attention during the survey. Please tell us honestly how serious you were in completing the survey.


How serious have you been about filling in the survey?",What gender do you identify as?,What is your age (in numbers)?,Which of the following best describes your gross annual household income last year?,How many years of schooling have you completed? (from elementary school to doctoral degree or specialization if you have one),List of Countries,Which of the following is your native language?,"The survey you have completed aims to replicate the mental accounting effect. According to this phenomenon a person attributes different values to the same amount of money based on subjective criteria. Specifically, people tend to subjectively organize economic resources into different mental accounts. In addition, in this study, we measured some individual differences that might have an influence on mental accounting. In particular:   	
 	
 
●	Scale to measure financial literacy (Lusardi and Mitchell, 2014).  	 	 	
 ●	Demographic data (e.g. gender, age or income level)	

 
Finally, we inform you that we have also used an attentional check to measure respondent engagement. The purpose of this study could not be fully revealed at the beginning of the study to avoid influencing your answers. Now that you have received this information, we ask you to confirm your consent to participate in this study or to withdraw it. In the latter case your data will not be used and will be deleted.",FL_5 - Block Randomizer - Display Order - FL_14,FL_5 - Block Randomizer - Display Order - FL_15,FL_5 - Block Randomizer - Display Order - FL_16,FL_5 - Block Randomizer - Display Order - FL_17
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID34""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID12""}","{""ImportId"":""QID78""}","{""ImportId"":""QID86""}","{""ImportId"":""QID10""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID74""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID82_2""}","{""ImportId"":""QID82_3""}","{""ImportId"":""QID11""}","{""ImportId"":""QID40""}","{""ImportId"":""QID48""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID114""}","{""ImportId"":""QID57""}","{""ImportId"":""QID63""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_14""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_15""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_16""}","{""ImportId"":""FL_5_DO"",""choiceId"":""FL_17""}"
2022-09-12 09:12:47,2022-09-12 09:29:14,0,100,986,1,2022-09-12 09:29:15,R_1pM6yaqLSYw0PkQ,anonymous,EN,0.8999999761581421,1,3,50,50,100,100,10,1,5,1,1,50,50,100,100,3,1,2,1,50,50,100,100,1,1,1,5,3,1,2,5,1,3,2,3,4,4,25,7,14,156,4,2,1,2,3,4
2022-09-12 09:23:57,2022-09-12 09:37:01,0,100,784,1,2022-09-12 09:37:01,R_bdRBlkMopEgwuw9,anonymous,EN,0.8999999761581421,1,1,0,25,0,50,10,1,5,5,1,25,25,25,50,1,1,3,2,25,50,50,50,1,3,3,2,2,2,3,5,1,3,3,4,3,2,49,1,15,156,7,1,2,1,4,3
2022-09-12 09:17:45,2022-09-12 09:41:13,0,100,1407,1,2022-09-12 09:41:15,R_1DZkbCFkzl5DCMX,anonymous,EN,0.699999988079071,1,1,0,50,0,200,5,1,5,5,1,25,100,50,200,1,1,1,2,25,50,50,100,1,1,5,5,2,1,3,2,1,3,3,4,5,2,49,7,10,156,4,1,4,2,1,3
2022-09-12 09:34:09,2022-09-12 09:47:41,0,100,812,1,2022-09-12 09:47:43,R_2YtwKlW7lmMnr1Z,anonymous,EN,0.8999999761581421,1,1,25,50,50,80,10,4,4,4,1,25,50,50,80,2,1,1,1,25,40,50,80,1,4,4,4,1,1,1,5,1,3,2,1,3,1,53,1,16,156,4,1,4,3,2,1
2022-09-12 10:06:22,2022-09-12 10:18:03,0,100,700,1,2022-09-12 10:18:03,R_2RNVsDjyKONx1ob,anonymous,EN,1,1,3,0,25,0,50,20,1,5,5,1,0,25,0,50,3,2,3,2,25,50,25,50,1,1,5,3,3,2,3,3,1,3,3,4,5,2,46,7,14,156,7,1,1,3,4,2
2022-09-12 10:09:22,2022-09-12 10:20:42,0,100,680,1,2022-09-12 10:20:44,R_2YkZcliWOgAn4ol,anonymous,EN,1,1,1,0,25,0,50,10,1,4,4,1,25,25,50,50,1,1,3,2,25,50,25,50,1,5,2,2,2,2,1,5,1,3,2,1,3,2,26,7,16,156,7,1,4,2,3,1
2022-09-12 10:19:37,2022-09-12 10:24:40,0,100,302,1,2022-09-12 10:24:40,R_1EY78AXZmdSWViw,anonymous,EN,0.8999999761581421,1,1,25,30,25,50,3,3,3,1,1,25,30,25,50,1,1,3,2,25,30,25,50,1,3,3,1,2,1,3,3,4,4,3,4,5,2,23,7,16,156,4,1,4,1,3,2
2022-09-12 09:24:57,2022-09-12 10:38:12,0,100,4395,1,2022-09-12 10:38:14,R_2VvXh0nwJnzvxnT,anonymous,EN,1,1,3,0,25,0,25,5,1,5,5,1,25,25,25,25,3,2,2,2,50,50,50,50,1,2,4,2,3,2,3,1,1,3,2,1,3,2,53,6,15,156,4,1,3,4,2,1
